Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
328,0.332,1.22,0.34,11.011,138.961,20.375,6.401,1.325,257.755,1.782,41.432,15.785,9.469,277.65,178.64,132.52,711.22,499.55,162.04,1620.14,3906.77,4648.73,192.4316284,6408.39,7296.57,536.57,785.93,249.36,948.92,217,458.88
7373,0.333,1.386,0.362,13.119,101.592,23.517,4.371,3.677,261.714,1.532,58.812,23.527,11.517,268.605,184.12,152.8,796.195,508.625,178.4743827,4096.115,4469.25,6322.555,224.14,8442.43,8922.19,780.37,1479.505,699.135,1615.52,226.565,437.51
7092,0.335,1.21,0.326,11.455,117.327,19.873,3.051,1.601,298.131,1.529,35.712,10.626,7.605,193.095,113.06,143.18,739.995,432.465,218.845,3049.505,3543.725,3742.875,192.4316284,6539.18,7410.305,687.85,1040.325,352.475,1177.62,219.39,424.47
7143,0.335,1.539,0.378,11.691,117.472,21.794,9.624,4.123,225.856,1.768,63.999,24.465,9.757,415.39,93.985,214.105,487.005,406.805,278.175,2572.79,4231.475,4413.67,307.955,9325.725,9329.86,823.11,1281.025,457.915,2027.405,189.09,385.695
7508,0.338,1.494,0.327,12.733,114.849,23.867,6.303,3.267,263.971,2.051,78.963,22.002,11.037,269.34,323.115,175.305,699.445,275.21,160.39,3975.78,4460.99,5489.595,225.96,5942.295,8365.07,635.825,985.805,349.98,1495.465,263.135,459.7
5565,0.338,1.385,0.36,11.173,128.232,22.873,6.067,2.684,231.862,2.05,57.687,18.814,6.975,276.82,198.65,165.69,608.39,216.57,325.34,3118.02,5005.87,5257.5,192.4316284,6688.66,7807.27,670.7,974.64,303.94,1427.18,248.99,340.15
6982,0.34,1.509,0.351,11.934,120.213,24.411,7.455,4.32,235.825,2.532,54.328,20.856,9.569,217.845,179.12,195.14,701.92,1318.905,82.75,3285.815,3811.675,4102.005,298.01,8224.775,7894.225,959.295,1115.955,156.66,1740.24,201.485,410.47
7270,0.341,1.169,0.292,9.795,140.215,14.793,2.382,1.813,206.298,1.928,28.187,15.516,8.794,213.69,301,152.15,682.77,512.66,158.04,1589.25,3724.25,3257.65,173.87,7915.27,6988.73,681.39,1052.13,370.74,1419.87,209.77,313.2
4802,0.341,1.245,0.323,11.867,135.307,23.566,4.674,3.011,228.644,1.967,53.208,12.566,7.755,104.77,130.425,113.855,448.765,354.62,85.455,3271.72,3267.615,5371.335,124.815,7345.905,7489.775,617.525,937.875,320.35,1228.515,215.765,402.925
383,0.343,1.305,0.326,12.513,125.336,22.493,3.368,3.35,232.045,1.484,61.307,14.291,12.674,214.26,384.58,135.99,860.87,314.06,52.8,3266.867569,3998.26,3900.29,94.19,7049.17,8129.43,700.9,1049.1,348.2,1058.1,222.44,385.42
6979,0.343,1.237,0.342,10.957,120.772,22.137,4.326,4.202,221.731,1.479,30.794,14.189,6.726,167.1,130.8,161.925,918.915,832.685,90.83,4467.66,3071.46,4483.53,192.4316284,5253.31,5243.005,513.025,668.815,155.79,1315.365,249.275,389.155
7382,0.344,1.193,0.306,12.673,116.788,23.773,1.493,1.866,348.863,1.577,72.372,12.397,10.121,89.68,232.3471651,195.21,808.31,331.89,398.36,6388.87,4272.58,5612.62,17.51,6259.68,7893.89,660.9,1006.68,345.78,1052.43,305.52,476.73
7507,0.345,1.242,0.317,10.554,130.042,21.217,3.16,2.435,256.594,2.559,53.438,14.381,9.668,216.64,244.405,90.455,341.82,432.36,95.02,2833.75,4257.915,5364.83,162.43,6762.32,7788.665,593.72,875.43,281.71,1529.26,213.33,400.455
7277,0.348,1.211,0.285,12.357,116.159,20.71,3.21,1.568,207.044,1.222,45.112,17.415,5.55,249.19,184.31,182.99,653.94,516.1,161.07,2913.43,3073.92,4804.09,192.4316284,7825.33,8744.62,727.84,1142.12,414.28,1256.49,305.64,442.72
7372,0.348,1.279,0.326,13.542,120.703,23.426,5.461,1.592,204.082,1.909,47.215,10.99,6.903,157.11,416.07,101.15,686.26,259.8,62.39,2165.43,4632.36,5259.55,192.4316284,8434.58,7411.68,689.46,1132.34,442.88,1401.31,301.23,465.09
126,0.35,1.347,0.312,12.277,108.285,19.336,7.029,4.274,282.033,2.682,89.573,14.192,14.299,287.085,123.35,157.79,613.91,547.715,96.33,2126.29,4492.78,5668.52,254.71,7164.43,8278.075,659.795,1019.93,360.135,1658.535,195.84,378.61
7164,0.352,1.182,0.305,10.152,126.784,29.876,7.268,3.646,221.609,1.746,114.688,18.137,9.925,162.195,201.565,234.24,739.125,845.35,69.485,2922.02,3988.795,4843.53,147.73,8074.805,8690.62,642.485,1004.94,362.455,1446.625,188.32,344.84
7178,0.352,1.385,0.349,11.433,98.228,19.274,3.273,2.642,281.952,1.307,40.607,18.953,14.336,220.315,149.595,159.295,583.93,2802.855,143.515,743.065,4188.98,4482.765,181.04,6830.83,7631.115,690.755,1093.195,402.44,1387.38,285.01,478.565
2057,0.353,1.302,0.324,11.209,138.86,28.485,3.225,3.957,272.199,1.659,57.705,12.672,10.876,219.28,311.985,201.895,897.28,651.1,111.89,4024.77,4743.175,4429.84,192.4316284,7382.85,9213.92,677.835,1324.425,646.59,1345.555,272.83,458.105
6998,0.355,1.308,0.373,10.791,145.802,20.495,3.331,2.54,227.179,0.901,26.309,12.458,6.82,284.625,151.09,122.175,427.63,1330.465,201.77,4176.795,2916.55,3709.505,141.94,7339.525,5682.54,710.815,952.97,242.155,983.815,292.63,452.91
7126,0.355,1.432,0.341,12.115,126.664,28.235,7.341,6.314,250.964,2.881,49.302,10.096,11.81,170.525,114.505,180.245,642.305,447.45,322.295,2030.88,4157.89,4927.52,167.86,5125.74,5987.97,573.485,909.755,336.27,903.845,181.82,329.82
2150,0.355,1.216,0.293,11.731,120.524,27.518,4.643,3.705,257.999,1.677,67.858,19.997,8.531,94.235,86.39,160.31,855.63,490.755,90.125,4478.72,4852.505,7132.47,192.4316284,8269.375,8063.425,726.81,1024.795,297.985,1795.91,248.53,449.33
7379,0.357,1.382,0.342,12.521,133.721,20.459,2.222,1.885,222.481,2.448,51.138,9.991,7.923,174.15,137.375,135.615,505.42,395.835,119.96,3877.975,2942.58,4232.675,153.58,6421.335,7916.54,486.38,735.345,248.965,1268.64,216.015,387.275
8374,0.357,1.203,0.309,12.87,115.725,24.138,4.588,3.715,279.589,1.802,47.491,14.836,12.387,182.555,220.98,189.375,940.015,687.68,139.745,3836.33,5160.675,5208.39,177.16,6804.015,7581.14,833.08,1172.12,339.04,1376.11,310.54,437.275
6942,0.358,1.234,0.316,11.996,123.576,17.988,2.409,3.612,206.659,0.973,45.431,17.652,5.952,186.91,450.07,196.905,684.105,347.185,250.595,2173.57,4691.03,5594.535,112.15,7464.855,8474.955,717.8,965.94,248.14,1268.365,175.105,391.995
7263,0.359,1.349,0.349,10.656,113.866,25.353,4.936,2.857,238.181,1.134,62.366,14.575,11.471,99.43,89.48,188.785,562.23,684.15,276.93,4408.465,4237.535,5213.87,216.55,6834.135,8948.34,737.675,1016.65,278.975,1679.86,175.56,333.73
7069,0.36,1.204,0.334,11.594,153.321,21.391,2.482,3.063,252.999,2.104,28.603,6.379,7.948,160.57,59.04,237.12,900.06,393.74,95.65,5497.37,2470.26,4436.64,137.16,6872.31,8049.64,639.78,988.03,348.25,1203.29,287.67,503.76
7252,0.361,1.298,0.312,11.202,140.048,28.783,4.6,2.364,243.841,1.518,50.48,11.898,10.022,173.2,308.385,139.275,507.135,377.845,244.565,707.795,2750.29,2808.485,153.33,7201.365,7238.435,635.045,796.985,161.94,1053.23,135.03,290.495
374,0.361,1.257,0.303,11.251,121.887,22.488,3.421,3.197,244,2.03,52.167,18.353,8.433,104.48,116.91,213.94,948.35,643.65,76.52,2174.6,4159.42,5396.3,192.4316284,6973.86,8945.59,572.84,1139.88,567.04,1404.37,256.54,502.45
